Instrument,Date,div_amt,div_type,pay_type
AAPL.O,2017-02-09,0.57,Interim,Cash Dividend
AAPL.O,2017-05-11,0.63,Interim,Cash Dividend
AAPL.O,2017-08-10,0.63,Interim,Cash Dividend
AAPL.O,2017-11-10,0.63,Final,Cash Dividend
AAPL.O,2018-02-09,0.63,Interim,Cash Dividend
AAPL.O,2018-05-11,0.73,Interim,Cash Dividend
AAPL.O,2018-08-10,0.73,Interim,Cash Dividend
AAPL.O,2018-11-08,0.73,Final,Cash Dividend
AAPL.O,2019-02-08,0.73,Interim,Cash Dividend
AAPL.O,2019-05-10,0.77,Interim,Cash Dividend
AAPL.O,2019-08-09,0.77,Interim,Cash Dividend
AAPL.O,2019-11-07,0.77,Final,Cash Dividend
AAPL.O,2020-02-07,0.77,Interim,Cash Dividend
AAPL.O,2020-05-08,0.82,Interim,Cash Dividend
AAPL.O,2020-08-07,0.82,Interim,Cash Dividend
AAPL.O,2020-11-06,0.205,Final,Cash Dividend
AAPL.O,2021-02-05,0.205,Interim,Cash Dividend
AAPL.O,2021-05-07,0.22,Interim,Cash Dividend
AAPL.O,2021-08-06,0.22,Interim,Cash Dividend
AAPL.O,2021-11-05,0.22,Final,Cash Dividend
AAPL.O,2022-02-04,0.22,Interim,Cash Dividend
AAPL.O,2022-05-06,0.23,Interim,Cash Dividend
AAPL.O,2022-08-05,0.23,Interim,Cash Dividend
AAPL.O,2022-11-04,0.23,Final,Cash Dividend
IVV,2017-03-24,1.032177,Interim,Cash Dividend
IVV,2017-06-27,1.116979,Interim,Cash Dividend
IVV,2017-09-26,1.283922,Final,Cash Dividend
IVV,2017-12-19,1.272677,Interim,Cash Dividend
IVV,2018-03-22,1.228513,Interim,Cash Dividend
IVV,2018-06-26,1.281212,Interim,Cash Dividend
IVV,2018-09-26,1.277369,Final,Cash Dividend
IVV,2018-12-17,1.442143,Interim,Cash Dividend
IVV,2018-12-28,0.322286,Extra,Cash Dividend
IVV,2019-03-20,1.129603,Interim,Cash Dividend
IVV,2019-06-17,1.777745,Interim,Cash Dividend
IVV,2019-09-24,1.482701,Final,Cash Dividend
IVV,2019-12-16,1.602184,Interim,Cash Dividend
IVV,2019-12-16,0.436905,Special,Cash Dividend
IVV,2020-03-25,1.531356,Interim,Cash Dividend
IVV,2020-06-15,1.260874,Interim,Cash Dividend
IVV,2020-09-23,1.505804,Interim,Cash Dividend
IVV,2020-12-14,1.610222,Final,Cash Dividend
IVV,2021-03-25,1.311101,Interim,Cash Dividend
IVV,2021-06-10,1.224874,Interim,Cash Dividend
IVV,2021-09-24,1.69289,Interim,Cash Dividend
IVV,2021-12-13,1.498384,Final,Cash Dividend
IVV,2022-03-24,1.481128,Interim,Cash Dividend
IVV,2022-06-09,1.282692,Interim,Cash Dividend
IVV,2022-09-26,1.90587,Interim,Cash Dividend
IVV,2022-12-13,1.723616,Final,Cash Dividend
SHY.O,2017-02-01,0.050988,Interim,Cash Dividend
SHY.O,2017-03-01,0.053507,Interim,Cash Dividend
SHY.O,2017-04-03,0.058486,Interim,Cash Dividend
SHY.O,2017-05-01,0.061868,Interim,Cash Dividend
SHY.O,2017-06-01,0.063585,Interim,Cash Dividend
SHY.O,2017-07-03,0.066944,Interim,Cash Dividend
SHY.O,2017-08-01,0.070877,Interim,Cash Dividend
SHY.O,2017-09-01,0.072044,Interim,Cash Dividend
SHY.O,2017-10-02,0.072561,Interim,Cash Dividend
SHY.O,2017-11-01,0.078435,Interim,Cash Dividend
SHY.O,2017-12-01,0.078527,Final,Cash Dividend
SHY.O,2017-12-21,0.094086,Extra,Cash Dividend
SHY.O,,0.0,Interim,Cash Dividend
SHY.O,2018-02-01,0.086192,Interim,Cash Dividend
SHY.O,2018-03-01,0.086349,Interim,Cash Dividend
SHY.O,2018-04-02,0.094432,Interim,Cash Dividend
SHY.O,2018-05-01,0.103104,Interim,Cash Dividend
SHY.O,2018-06-01,0.12637,Interim,Cash Dividend
SHY.O,2018-07-02,0.129876,Interim,Cash Dividend
SHY.O,2018-08-01,0.138093,Interim,Cash Dividend
SHY.O,2018-09-04,0.13121,Interim,Cash Dividend
SHY.O,2018-10-01,0.136928,Interim,Cash Dividend
SHY.O,2018-11-01,0.145529,Interim,Cash Dividend
SHY.O,2018-12-03,0.142305,Final,Cash Dividend
SHY.O,2018-12-18,0.118755,Interim,Cash Dividend
SHY.O,2019-02-01,0.152213,Interim,Cash Dividend
SHY.O,2019-03-01,0.15434,Interim,Cash Dividend
SHY.O,2019-04-01,0.163781,Interim,Cash Dividend
SHY.O,2019-05-01,0.156364,Interim,Cash Dividend
SHY.O,2019-06-03,0.168676,Interim,Cash Dividend
SHY.O,2019-07-01,0.155947,Interim,Cash Dividend
SHY.O,2019-08-01,0.150023,Interim,Cash Dividend
SHY.O,2019-09-03,0.146225,Interim,Cash Dividend
SHY.O,2019-10-01,0.135,Interim,Cash Dividend
SHY.O,2019-11-01,0.139555,Interim,Cash Dividend
SHY.O,2019-12-02,0.134135,Final,Cash Dividend
SHY.O,2019-12-19,0.136532,Extra,Cash Dividend
SHY.O,2019-12-30,0.0,Interim,Cash Dividend
SHY.O,2020-02-03,0.134865,Interim,Cash Dividend
SHY.O,2020-03-02,0.124966,Interim,Cash Dividend
SHY.O,2020-04-01,0.106006,Interim,Cash Dividend
SHY.O,2020-05-01,0.072362,Interim,Cash Dividend
SHY.O,2020-06-01,0.07006,Interim,Cash Dividend
SHY.O,2020-07-01,0.060636,Interim,Cash Dividend
SHY.O,2020-08-03,0.050443,Interim,Cash Dividend
SHY.O,2020-09-01,0.049132,Interim,Cash Dividend
SHY.O,2020-10-01,0.040048,Interim,Cash Dividend
SHY.O,2020-11-02,0.038605,Interim,Cash Dividend
SHY.O,2020-12-01,0.032872,Final,Cash Dividend
SHY.O,2020-12-17,0.03197,Interim,Cash Dividend
SHY.O,2021-02-01,0.030107,Interim,Cash Dividend
SHY.O,2020-12-30,0.0,Capital gains,Cash Dividend
SHY.O,2021-03-01,0.022035,Interim,Cash Dividend
SHY.O,2021-04-01,0.019313,Interim,Cash Dividend
SHY.O,2021-05-03,0.012243,Interim,Cash Dividend
SHY.O,2021-06-01,0.012074,Interim,Cash Dividend
SHY.O,2021-07-01,0.013189,Interim,Cash Dividend
SHY.O,2021-08-02,0.012446,Interim,Cash Dividend
SHY.O,2021-09-01,0.012808,Interim,Cash Dividend
SHY.O,2021-10-01,0.010678,Interim,Cash Dividend
SHY.O,2021-11-01,0.010985,Interim,Cash Dividend
SHY.O,2021-12-01,0.049913,Final,Cash Dividend
SHY.O,2021-12-16,0.018063,Interim,Cash Dividend
SHY.O,2021-12-30,0.0,Interim,Cash Dividend
SHY.O,2022-02-01,0.023298,Interim,Cash Dividend
SHY.O,2022-03-01,0.025406,Interim,Cash Dividend
SHY.O,2022-04-01,0.036305,Interim,Cash Dividend
SHY.O,2022-05-02,0.043611,Interim,Cash Dividend
SHY.O,2022-06-01,0.064745,Interim,Cash Dividend
SHY.O,2022-07-01,0.078997,Interim,Cash Dividend
SHY.O,2022-08-01,0.088246,Interim,Cash Dividend
SHY.O,2022-09-01,0.100482,Interim,Cash Dividend
SHY.O,2022-10-03,0.108023,Interim,Cash Dividend
SHY.O,2022-11-01,0.14069,Final,Cash Dividend
SHY.O,2022-12-01,0.165441,Interim,Cash Dividend
SHY.O,2022-12-15,0.180684,Final,Cash Dividend
MSFT.O,2017-02-14,0.39,Interim,Cash Dividend
MSFT.O,2017-05-16,0.39,Interim,Cash Dividend
MSFT.O,2017-08-15,0.39,Interim,Cash Dividend
MSFT.O,2017-11-15,0.42,Final,Cash Dividend
MSFT.O,2018-02-14,0.42,Interim,Cash Dividend
MSFT.O,2018-05-16,0.42,Interim,Cash Dividend
MSFT.O,2018-08-15,0.42,Interim,Cash Dividend
MSFT.O,2018-11-14,0.46,Final,Cash Dividend
MSFT.O,2019-02-20,0.46,Interim,Cash Dividend
MSFT.O,2019-05-15,0.46,Interim,Cash Dividend
MSFT.O,2019-08-14,0.46,Interim,Cash Dividend
MSFT.O,2019-11-20,0.51,Final,Cash Dividend
MSFT.O,2020-02-19,0.51,Interim,Cash Dividend
MSFT.O,2020-05-20,0.51,Interim,Cash Dividend
MSFT.O,2020-08-19,0.51,Interim,Cash Dividend
MSFT.O,2020-11-18,0.56,Final,Cash Dividend
MSFT.O,2021-02-17,0.56,Interim,Cash Dividend
MSFT.O,2021-05-19,0.56,Interim,Cash Dividend
MSFT.O,2021-08-18,0.56,Interim,Cash Dividend
MSFT.O,2021-11-17,0.62,Final,Cash Dividend
MSFT.O,2022-02-16,0.62,Interim,Cash Dividend
MSFT.O,2022-05-18,0.62,Interim,Cash Dividend
MSFT.O,2022-08-17,0.62,Interim,Cash Dividend
MSFT.O,2022-11-16,0.68,Final,Cash Dividend
